Start time          	End time            	Activity	
--------------------	--------------------	--------
2011-11-28 02:27:59		2011-11-28 10:18:11		Sleeping		
2011-11-28 10:21:24		2011-11-28 10:23:36		Toileting	
2011-11-28 10:25:44		2011-11-28 10:33:00		Showering	
2011-11-28 10:34:23		2011-11-28 10:43:00		Breakfast	
2011-11-28 10:49:48		2011-11-28 10:51:13		Grooming	
2011-11-28 10:51:41		2011-11-28 13:05:07		Spare_Time/TV		
2011-11-28 13:06:04		2011-11-28 13:06:31		Toileting	
2011-11-28 13:09:31		2011-11-28 13:29:09		Leaving	
2011-11-28 13:38:40		2011-11-28 14:21:40		Spare_Time/TV		
2011-11-28 14:22:38		2011-11-28 14:27:07		Toileting	
2011-11-28 14:27:11		2011-11-28 15:04:00		Lunch		
2011-11-28 15:04:59		2011-11-28 15:06:29		Grooming	
2011-11-28 15:07:01		2011-11-28 20:20:00		Spare_Time/TV		
2011-11-28 20:20:55		2011-11-28 20:20:59		Snack	
2011-11-28 20:21:15		2011-11-29 02:06:00		Spare_Time/TV		
2011-11-29 02:16:00		2011-11-29 11:31:00		Sleeping		
2011-11-29 11:31:55		2011-11-29 11:36:55		Toileting	
2011-11-29 11:37:38		2011-11-29 11:48:54		Grooming	
2011-11-29 11:49:57		2011-11-29 11:51:13		Showering	
2011-11-29 12:08:28		2011-11-29 12:18:00		Breakfast	
2011-11-29 12:19:01		2011-11-29 12:22:00		Grooming	
2011-11-29 12:22:38		2011-11-29 12:24:59		Spare_Time/TV		
2011-11-29 13:25:29		2011-11-29 13:25:32		Snack	
2011-11-29 13:25:38		2011-11-29 15:12:26		Spare_Time/TV		
2011-11-29 15:13:28		2011-11-29 15:13:57		Toileting	
2011-11-29 15:14:33		2011-11-29 15:45:54		Lunch		
2011-11-29 15:49:51		2011-11-29 15:50:54		Grooming	
2011-11-29 15:52:04		2011-11-29 16:17:58		Spare_Time/TV		
2011-11-29 16:18:00		2011-11-29 16:31:27		Toileting	
2011-11-29 16:34:17		2011-11-29 17:08:07		Spare_Time/TV		
2011-11-29 17:08:58		2011-11-29 17:09:29		Toileting	
2011-11-29 17:43:00		2011-11-29 18:57:22		Spare_Time/TV		
2011-11-29 19:02:15		2011-11-29 20:23:38		Leaving	
2011-11-29 20:28:00		2011-11-30 01:19:47		Spare_Time/TV		
2011-11-30 01:22:33		2011-11-30 10:07:31		Sleeping		
2011-11-30 10:11:07		2011-11-30 10:13:59		Toileting	
2011-11-30 10:14:45		2011-11-30 10:18:33		Showering	
2011-11-30 10:22:59		2011-11-30 10:35:00		Breakfast	
2011-11-30 10:39:30		2011-11-30 10:41:13		Grooming	
2011-11-30 10:41:38		2011-11-30 13:04:59		Spare_Time/TV		
2011-11-30 13:05:27		2011-11-30 13:05:31		Snack	
2011-11-30 13:05:38		2011-11-30 14:09:34		Spare_Time/TV		
2011-11-30 14:11:16		2011-11-30 14:11:48		Toileting	
2011-11-30 14:13:45		2011-11-30 14:34:09		Spare_Time/TV		
2011-11-30 14:39:42		2011-11-30 15:00:24		Lunch		
2011-11-30 15:11:48		2011-11-30 16:39:11		Spare_Time/TV		
2011-11-30 16:40:01		2011-11-30 16:40:24		Toileting	
2011-11-30 16:41:05		2011-11-30 16:41:09		Snack	
2011-11-30 16:41:15		2011-11-30 18:00:38		Spare_Time/TV		
2011-11-30 18:01:44		2011-11-30 18:01:47		Toileting	
2011-11-30 18:01:54		2011-11-30 18:43:20		Spare_Time/TV		
2011-11-30 18:57:08		2011-11-30 18:57:34		Toileting	
2011-11-30 18:57:39		2011-11-30 19:37:10		Spare_Time/TV		
2011-11-30 19:37:36		2011-11-30 19:38:01		Toileting	
2011-11-30 19:46:44		2011-11-30 20:05:12		Leaving	
2011-11-30 20:13:39		2011-11-30 20:13:48		Grooming	
2011-11-30 20:14:03		2011-12-01 01:34:27		Spare_Time/TV		
2011-12-01 01:37:52		2011-12-01 10:50:45		Sleeping		
2011-12-01 10:55:03		2011-12-01 10:55:32		Grooming	
2011-12-01 10:58:37		2011-12-01 11:12:22		Showering	
2011-12-01 11:17:05		2011-12-01 11:29:49		Breakfast	
2011-12-01 11:30:06		2011-12-01 14:29:02		Spare_Time/TV		
2011-12-01 14:29:37		2011-12-01 14:55:02		Lunch		
2011-12-01 15:09:00		2011-12-01 16:26:17		Spare_Time/TV		
2011-12-01 16:26:35		2011-12-01 16:27:04		Toileting	
2011-12-01 16:27:03		2011-12-01 16:46:40		Spare_Time/TV		
2011-12-01 17:17:23		2011-12-01 17:27:13		Grooming	
2011-12-01 17:29:29		2011-12-01 18:49:51		Leaving	
2011-12-01 18:55:03		2011-12-01 19:10:34		Spare_Time/TV		
2011-12-01 19:28:51		2011-12-01 16:29:59		Toileting	
2011-12-01 19:30:01		2011-12-01 23:52:52		Spare_Time/TV		
2011-12-01 23:53:00		2011-12-01 23:53:28		Grooming	
2011-12-01 23:54:32		2011-12-02 01:18:32		Spare_Time/TV		
2011-12-02 01:18:44		2011-12-02 01:18:57		Grooming	
2011-12-02 01:19:09		2011-12-02 02:08:17		Spare_Time/TV		
2011-12-02 02:09:33		2011-12-02 02:13:56		Grooming	
2011-12-02 02:15:55		2011-12-02 12:15:19		Sleeping		
2011-12-02 12:16:00		2011-12-02 12:20:40		Toileting	
2011-12-02 12:20:41		2011-12-01 10:20:59		Grooming	
2011-12-02 12:21:19		2011-12-02 12:25:40		Showering	
2011-12-02 12:27:47		2011-12-01 11:35:49		Breakfast	
2011-12-02 12:37:47		2011-12-02 14:46:29		Spare_Time/TV		
2011-12-02 14:47:00		2011-12-02 15:20:00		Lunch		
2011-12-02 15:24:05		2011-12-02 15:55:12		Spare_Time/TV		
2011-12-02 15:56:02		2011-12-02 15:57:55		Grooming	
2011-12-02 15:58:00		2011-12-02 16:36:05		Spare_Time/TV		
2011-12-02 16:37:27		2011-12-02 16:47:27		Toileting	
2011-12-02 16:47:39		2011-12-02 19:39:08		Spare_Time/TV		
2011-12-02 19:40:44		2011-12-02 19:40:50		Snack	
2011-12-02 19:41:14		2011-12-02 21:26:09		Spare_Time/TV		
2011-12-02 21:27:09		2011-12-02 21:44:37		Toileting	
2011-12-02 21:46:31		2011-12-03 01:41:08		Spare_Time/TV		
2011-12-03 01:47:02		2011-12-03 11:56:20		Sleeping		
2011-12-03 11:57:15		2011-12-03 11:59:15		Toileting	
2011-12-03 11:59:33		2011-12-03 12:01:59		Grooming	
2011-12-03 12:03:36		2011-12-03 12:07:26		Showering	
2011-12-03 12:10:35		2011-12-03 12:19:30		Breakfast	
2011-12-03 12:21:30		2011-12-03 13:28:36		Spare_Time/TV		
2011-12-03 13:29:00		2011-12-03 13:29:59		Grooming	
2011-12-03 13:29:48		2011-12-03 14:01:20		Spare_Time/TV		
2011-12-03 14:11:10		2011-12-03 14:14:43		Grooming	
2011-12-03 14:18:11		2011-12-03 17:48:37		Leaving	
2011-12-03 17:50:14		2011-12-03 23:53:24		Spare_Time/TV		
2011-12-03 23:54:00		2011-12-03 23:54:51		Toileting	
2011-12-03 23:55:18		2011-12-04 03:16:13		Spare_Time/TV		
2011-12-04 03:19:17		2011-12-04 12:37:49		Sleeping		
2011-12-04 12:39:45		2011-12-04 12:45:44		Toileting	
2011-12-04 12:46:11		2011-12-04 12:47:28		Grooming	
2011-12-04 12:50:56		2011-12-04 12:54:55		Showering	
2011-12-04 12:56:08		2011-12-04 12:59:48		Breakfast	
2011-12-04 13:00:53		2011-12-04 13:58:10		Spare_Time/TV		
2011-12-04 14:00:12		2011-12-04 14:03:42		Toileting	
2011-12-04 14:11:50		2011-12-04 16:31:01		Leaving	
2011-12-04 16:34:00		2011-12-04 17:25:39		Spare_Time/TV		
2011-12-04 17:27:03		2011-12-04 17:27:08		Snack	
2011-12-04 17:27:16		2011-12-04 17:43:56		Spare_Time/TV		
2011-12-04 17:45:00		2011-12-04 17:45:59		Grooming	
2011-12-04 18:08:28		2011-12-04 18:57:52		Spare_Time/TV		
2011-12-04 18:58:06		2011-12-04 18:59:33		Toileting	
2011-12-04 18:59:53		2011-12-04 18:59:59		Snack	
2011-12-04 19:00:04		2011-12-04 22:20:59		Spare_Time/TV		
2011-12-04 22:21:10		2011-12-04 22:22:10		Toileting	
2011-12-04 22:22:19		2011-12-05 01:28:09		Spare_Time/TV		
2011-12-05 01:31:34		2011-12-05 01:31:39		Grooming	
2011-12-05 01:35:10		2011-12-05 11:48:55		Sleeping		
2011-12-05 11:53:01		2011-12-05 11:53:31		Toileting	
2011-12-05 11:57:47		2011-12-05 11:57:55		Grooming	
2011-12-05 12:01:23		2011-12-05 12:08:56		Showering	
2011-12-05 12:14:49		2011-12-05 12:24:37		Breakfast	
2011-12-05 13:46:29		2011-12-05 14:26:46		Spare_Time/TV		
2011-12-05 14:28:36		2011-12-05 14:28:42		Grooming	
2011-12-05 14:38:07		2011-12-05 14:55:06		Leaving	
2011-12-05 14:57:51		2011-12-05 15:40:59		Lunch		
2011-12-05 15:42:25		2011-12-05 15:43:59		Grooming	
2011-12-05 15:44:00		2011-12-05 15:44:16		Toileting	
2011-12-05 15:44:56		2011-12-05 16:02:10		Spare_Time/TV		
2011-12-05 16:06:32		2011-12-05 16:36:32		Toileting	
