Start time          	End time            	Location	Type		Place
--------------------	--------------------	--------	--------	-----
2011-11-28 02:27:59		2011-11-28 10:18:11		Bed			Pressure	Bedroom
2011-11-28 10:21:24		2011-11-28 10:21:31		Cabinet		Magnetic	Bathroom
2011-11-28 10:21:44		2011-11-28 10:23:31		Basin		PIR			Bathroom
2011-11-28 10:23:02		2011-11-28 10:23:36		Toilet		Flush		Bathroom
2011-11-28 10:25:44		2011-11-28 10:32:06		Shower		PIR			Bathroom
2011-11-28 10:34:23		2011-11-28 10:34:41		Fridge		Magnetic	Kitchen
2011-11-28 10:34:44		2011-11-28 10:37:17		Cupboard	Magnetic	Kitchen
2011-11-28 10:38:00		2011-11-28 10:42:41		Toaster		Electric	Kitchen
2011-11-28 10:38:33		2011-11-28 10:38:40		Fridge		Magnetic	Kitchen
2011-11-28 10:41:29		2011-11-28 10:41:36		Cupboard	Magnetic	Kitchen
2011-11-28 10:41:43		2011-11-28 10:41:59		Cooktop		PIR			Kitchen
2011-11-28 10:41:59		2011-11-28 10:42:55		Microwave	Electric	Kitchen
2011-11-28 10:49:48		2011-11-28 10:51:13		Basin		PIR			Bathroom
2011-11-28 10:51:41		2011-11-28 13:05:07		Seat		Pressure	Living
2011-11-28 13:06:04		2011-11-28 13:06:06		Basin		PIR			Bathroom
2011-11-28 13:06:07		2011-11-28 13:06:31		Toilet		Flush		Bathroom
2011-11-28 13:09:31		2011-11-28 13:09:35		Maindoor	Magnetic	Entrance
2011-11-28 13:28:59		2011-11-28 13:29:09		Maindoor	Magnetic	Entrance
2011-11-28 13:33:32		2011-11-28 13:38:23		Fridge		Magnetic	Kitchen
2011-11-28 13:38:40		2011-11-28 14:21:40		Seat		Pressure	Living
2011-11-28 14:26:38		2011-11-28 14:27:07		Toilet		Flush		Bathroom
2011-11-28 14:27:11		2011-11-28 14:28:46		Fridge		Magnetic	Kitchen
2011-11-28 14:28:48		2011-11-28 14:28:55		Cupboard	Magnetic	Kitchen
2011-11-28 14:31:06		2011-11-28 14:41:54		Cooktop		PIR			Kitchen
2011-11-28 14:31:44		2011-11-28 14:31:56		Cupboard	Magnetic	Kitchen
2011-11-28 14:35:22		2011-11-28 14:35:27		Fridge		Magnetic	Kitchen
2011-11-28 15:04:59		2011-11-28 15:06:29		Basin		PIR			Bathroom
2011-11-28 15:07:01		2011-11-28 16:09:57		Seat		Pressure	Living
2011-11-28 16:10:05		2011-11-28 16:10:05		Basin		PIR			Bathroom
2011-11-28 16:10:38		2011-11-28 20:19:27		Seat		Pressure	Living
2011-11-28 20:20:55		2011-11-28 20:20:59		Fridge		Magnetic	Kitchen
2011-11-28 20:21:15		2011-11-29 02:06:51		Seat		Pressure	Living
2011-11-29 02:16:05		2011-11-29 11:31:04		Bed			Pressure	Bedroom
2011-11-29 11:37:16		2011-11-29 11:37:27		Toilet		Flush		Bathroom
2011-11-29 11:37:38		2011-11-29 11:48:29		Basin		PIR			Bathroom
2011-11-29 11:38:16		2011-11-29 11:38:37		Cabinet		Magnetic	Bathroom
2011-11-29 11:48:52		2011-11-29 11:48:54		Cabinet		Magnetic	Bathroom
2011-11-29 11:49:57		2011-11-29 11:51:13		Shower		PIR			Bathroom
2011-11-29 12:08:28		2011-11-29 12:09:21		Cupboard	Magnetic	Kitchen
2011-11-29 12:09:09		2011-11-29 12:13:02		Toaster		Electric	Kitchen
2011-11-29 12:09:24		2011-11-29 12:09:37		Fridge		Magnetic	Kitchen
2011-11-29 12:09:42		2011-11-29 12:10:37		Microwave	Electric	Kitchen
2011-11-29 12:19:16		2011-11-29 12:19:19		Cabinet		Magnetic	Bathroom
2011-11-29 12:19:24		2011-11-29 12:21:11		Basin		PIR			Bathroom
2011-11-29 12:21:56		2011-11-29 12:21:58		Toilet		Flush		Bathroom
2011-11-29 12:22:38 	2011-11-29 13:25:15		Seat		Pressure	Living
2011-11-29 13:25:29		2011-11-29 13:25:32		Fridge		Magnetic	Kitchen
2011-11-29 13:25:38		2011-11-29 15:12:26		Seat		Pressure	Living
2011-11-29 15:13:28		2011-11-29 15:13:57		Toilet		Flush		Bathroom
2011-11-29 15:13:32		2011-11-29 15:13:34		Basin		PIR			Bathroom
2011-11-29 15:14:33		2011-11-29 15:15:09		Cupboard	Magnetic	Kitchen
2011-11-29 15:15:14		2011-11-29 15:36:26		Cooktop		PIR			Kitchen
2011-11-29 15:15:17		2011-11-29 15:22:57		Microwave	Electric	Kitchen
2011-11-29 15:15:27		2011-11-29 15:16:39		Cupboard	Magnetic	Kitchen
2011-11-29 15:24:13		2011-11-29 15:24:41		Fridge		Magnetic	Kitchen
2011-11-29 15:24:39		2011-11-29 15:24:45		Cupboard	Magnetic	Kitchen
2011-11-29 15:45:49		2011-11-29 15:45:54		Fridge		Magnetic	Kitchen
2011-11-29 15:49:51		2011-11-29 15:50:54		Basin		PIR			Bathroom
2011-11-29 15:52:04		2011-11-29 16:17:58		Seat		Pressure	Living
2011-11-29 16:31:16		2011-11-29 16:31:27		Toilet		Flush		Bathroom
2011-11-29 16:32:20 	2011-11-29 16:32:23		Cupboard	Magnetic	Kitchen
2011-11-29 16:34:17		2011-11-29 17:08:07		Seat		Pressure	Living
2011-11-29 17:08:58		2011-11-29 17:09:00		Basin		PIR			Bathroom
2011-11-29 17:09:04		2011-11-29 17:09:29		Toilet		Flush		Bathroom
2011-11-29 17:09:09		2011-11-29 18:57:22		Seat		Pressure	Living
2011-11-29 19:02:15		2011-11-29 19:02:21		Maindoor	Magnetic	Entrance
2011-11-29 20:23:32		2011-11-29 20:23:38		Maindoor	Magnetic	Entrance
2011-11-29 20:28:08		2011-11-30 01:19:47		Seat		Pressure	Living
2011-11-30 01:22:33		2011-11-30 10:07:31		Bed			Pressure	Bedroom
2011-11-30 10:14:07		2011-11-30 10:14:34		Toilet		Flush		Bathroom
2011-11-30 10:14:45		2011-11-30 10:18:33		Shower		PIR			Bathroom
2011-11-30 10:23:02		2011-11-30 10:23:17		Cupboard	Magnetic	Kitchen
2011-11-30 10:23:21		2011-11-30 10:23:36		Fridge		Magnetic	Kitchen
2011-11-30 10:23:46		2011-11-30 10:28:38		Microwave	Electric	Kitchen
2011-11-30 10:24:10		2011-11-30 10:27:58		Toaster		Electric	Kitchen
2011-11-30 10:39:30		2011-11-30 10:41:13		Basin		PIR			Bathroom
2011-11-30 10:39:42		2011-11-30 10:39:45		Cabinet		Magnetic	Bathroom
2011-11-30 10:41:38		2011-11-30 13:05:01		Seat		Pressure	Living
2011-11-30 13:05:27		2011-11-30 13:05:31		Fridge		Magnetic	Kitchen
2011-11-30 13:05:38		2011-11-30 14:09:34		Seat		Pressure	Living
2011-11-30 14:11:16		2011-11-30 14:11:48		Toilet		Flush		Bathroom
2011-11-30 14:11:22		2011-11-30 14:11:24		Basin		PIR			Bathroom
2011-11-30 14:13:45		2011-11-30 14:34:09		Seat		Pressure	Living
2011-11-30 14:39:42		2011-11-30 14:55:24		Cooktop		PIR			Kitchen
2011-11-30 14:40:14		2011-11-30 14:40:24		Cupboard	Magnetic	Kitchen
2011-11-30 14:41:57		2011-11-30 14:42:12		Fridge		Magnetic	Kitchen
2011-11-30 14:46:46		2011-11-30 14:46:50		Fridge		Magnetic	Kitchen
2011-11-30 14:50:19		2011-11-30 14:50:33		Fridge		Magnetic	Kitchen
2011-11-30 15:11:48		2011-11-30 16:39:11		Seat		Pressure	Living
2011-11-30 16:40:00		2011-11-30 16:40:24		Toilet		Flush		Bathroom
2011-11-30 16:40:04		2011-11-30 16:40:09		Basin		PIR			Bathroom
2011-11-30 16:41:05		2011-11-30 16:41:09		Fridge		Magnetic	Kitchen
2011-11-30 16:41:15		2011-11-30 18:00:38		Seat		Pressure	Living
2011-11-30 18:01:44		2011-11-30 18:01:47		Basin		PIR			Bathroom
2011-11-30 18:01:46		2011-11-30 18:02:11		Toilet		Flush		Bathroom
2011-11-30 18:01:54		2011-11-30 18:43:20		Seat		Pressure	Living
2011-11-30 18:57:08		2011-11-30 18:57:34		Toilet		Flush		Bathroom
2011-11-30 18:57:39		2011-11-30 19:37:10		Seat		Pressure	Living
2011-11-30 19:37:36		2011-11-30 19:38:01		Toilet		Flush		Bathroom
2011-11-30 19:37:40		2011-11-30 19:37:46		Basin		PIR			Bathroom
2011-11-30 19:46:44		2011-11-30 19:46:49		Maindoor	Magnetic	Entrance
2011-11-30 20:05:07		2011-11-30 20:05:12		Maindoor	Magnetic	Entrance
2011-11-30 20:08:39		2011-11-30 20:08:44		Seat		Pressure	Living
2011-11-30 20:09:07		2011-11-30 20:13:18		Fridge		Magnetic	Kitchen
2011-11-30 20:13:39		2011-11-30 20:13:48		Basin		PIR			Bathroom
2011-11-30 20:14:03		2011-12-01 01:34:27		Seat		Pressure	Living
2011-12-01 01:37:52 	2011-12-01 10:50:45		Bed			Pressure	Bedroom
2011-12-01 10:55:03		2011-12-01 10:55:32		Toilet		Flush		Bathroom
2011-12-01 10:55:08		2011-12-01 10:55:13		Cabinet		Magnetic	Bathroom
2011-12-01 10:55:16		2011-12-01 10:55:25		Basin		PIR			Bathroom
2011-12-01 10:58:37		2011-12-01 11:12:22		Shower		PIR			Bathroom
2011-12-01 11:17:05		2011-12-01 11:19:49		Toaster		Electric	Kitchen
2011-12-01 11:17:14		2011-12-01 11:17:26		Cupboard	Magnetic	Kitchen
2011-12-01 11:17:29		2011-12-01 11:17:43		Fridge		Magnetic	Kitchen
2011-12-01 11:17:49		2011-12-01 11:19:43		Microwave	Electric	Kitchen
2011-12-01 11:30:06		2011-12-01 14:29:02		Seat		Pressure	Living
2011-12-01 14:08:19		2011-12-01 14:08:22		Basin		PIR			Bathroom
2011-12-01 14:29:37		2011-12-01 14:52:02		Cooktop		PIR			Kitchen
2011-12-01 14:29:48		2011-12-01 14:36:38		Microwave	Electric	Kitchen
2011-12-01 14:38:25		2011-12-01 14:38:54		Fridge		Magnetic	Kitchen
2011-12-01 14:49:15		2011-12-01 14:49:19		Fridge		Magnetic	Kitchen
2011-12-01 15:09:00		2011-12-01 16:26:17		Seat		Pressure	Living
2011-12-01 16:26:35		2011-12-01 16:27:04		Toilet		Flush		Bathroom
2011-12-01 16:26:36		2011-12-01 17:27:13		Basin		PIR			Bathroom
2011-12-01 17:29:29		2011-12-01 17:29:58		Maindoor	Magnetic	Entrance
2011-12-01 18:49:46		2011-12-01 18:49:51		Maindoor	Magnetic	Entrance
2011-12-01 18:54:52		2011-12-01 18:54:56		Fridge		Magnetic	Kitchen
2011-12-01 18:55:03		2011-12-01 19:10:34		Seat		Pressure	Living
2011-12-01 19:28:51		2011-12-01 19:29:17		Toilet		Flush		Bathroom
2011-12-01 19:29:13		2011-12-01 23:52:52		Seat		Pressure	Living
2011-12-01 23:53:00		2011-12-01 23:53:28		Basin		PIR			Bathroom
2011-12-01 23:54:32		2011-12-02 01:18:32		Seat		Pressure	Living
2011-12-02 01:18:44		2011-12-02 01:18:57		Basin		PIR			Bathroom
2011-12-02 01:19:09		2011-12-02 02:08:17		Seat		Pressure	Living
2011-12-02 02:09:33		2011-12-02 02:13:56		Basin		PIR			Bathroom
2011-12-02 02:15:55		2011-12-02 12:15:19		Bed			Pressure	Bedroom
2011-12-02 12:20:40		2011-12-02 12:21:09		Toilet		Flush		Bathroom
2011-12-02 12:20:41		2011-12-02 12:20:46		Basin		PIR			Bathroom
2011-12-02 12:21:02		2011-12-02 12:21:06		Cabinet		Magnetic	Bathroom
2011-12-02 12:21:19		2011-12-02 12:25:40		Shower		PIR			Bathroom
2011-12-02 12:27:47		2011-12-02 12:28:03		Cupboard	Magnetic	Kitchen
2011-12-02 12:28:45		2011-12-02 12:29:02		Fridge		Magnetic	Kitchen
2011-12-02 12:29:08		2011-12-02 12:31:50		Toaster		Electric	Kitchen
2011-12-02 12:29:25		2011-12-02 12:31:10		Microwave	Electric	Kitchen
2011-12-02 12:37:47		2011-12-02 14:46:29		Seat		Pressure	Living
2011-12-02 14:46:59		2011-12-02 14:47:08		Fridge		Magnetic	Kitchen
2011-12-02 14:47:18		2011-12-02 15:05:06		Cooktop		PIR			Kitchen
2011-12-02 14:47:22		2011-12-02 14:50:19		Microwave	Electric	Kitchen
2011-12-02 14:56:44		2011-12-02 14:56:49		Fridge		Magnetic	Kitchen
2011-12-02 14:59:11		2011-12-02 14:59:15		Fridge		Magnetic	Kitchen
2011-12-02 15:24:05		2011-12-02 15:55:12		Seat		Pressure	Living
2011-12-02 15:56:02		2011-12-02 15:57:55		Basin		PIR			Bathroom
2011-12-02 15:57:56		2011-12-02 16:36:05		Seat		Pressure	Living
2011-12-02 16:47:27		2011-12-02 16:47:55		Toilet		Flush		Bathroom
2011-12-02 16:47:39		2011-12-02 19:39:08		Seat		Pressure	Living
2011-12-02 19:40:44		2011-12-02 19:40:50		Fridge		Magnetic	Kitchen
2011-12-02 19:41:14		2011-12-02 21:26:09		Seat		Pressure	Living
2011-12-02 21:44:37		2011-12-02 21:45:03		Toilet		Flush		Bathroom
2011-12-02 21:46:31		2011-12-03 01:41:08		Seat		Pressure	Living
2011-12-03 01:47:02		2011-12-03 11:56:20		Bed			Pressure	Bedroom
2011-12-03 11:59:15		2011-12-03 11:59:45		Toilet		Flush		Bathroom
2011-12-03 11:59:33		2011-12-03 11:59:36		Cabinet		Magnetic	Bathroom
2011-12-03 11:59:42		2011-12-03 12:01:34		Basin		PIR			Bathroom
2011-12-03 12:03:36		2011-12-03 12:06:26		Shower		PIR			Bathroom
2011-12-03 12:08:53		2011-12-03 12:08:55		Basin		PIR			Bathroom
2011-12-03 12:10:35		2011-12-03 12:13:51		Toaster		Electric	Kitchen
2011-12-03 12:10:42		2011-12-03 12:10:51		Cupboard	Magnetic	Kitchen
2011-12-03 12:10:55		2011-12-03 12:11:16		Fridge		Magnetic	Kitchen
2011-12-03 12:11:36		2011-12-03 12:13:58		Microwave	Electric	Kitchen
2011-12-03 12:21:30		2011-12-03 13:28:36		Seat		Pressure	Living
