Start time          	End time            	Location	Type		Place
--------------------	--------------------	--------	--------	-----
2012-11-11 21:14:21		2012-11-12 00:21:49		Seat		Pressure	Living
2012-11-12 00:22:57		2012-11-12 00:22:59		Door		PIR			Living
2012-11-12 00:23:14		2012-11-12 00:23:17		Door		PIR			Kitchen
2012-11-12 00:24:20		2012-11-12 00:24:22		Door		PIR			Kitchen
2012-11-12 00:24:42		2012-11-12 00:24:54		Door		PIR			Living
2012-11-12 00:25:35		2012-11-12 00:42:56		Seat		Pressure	Living
2012-11-12 00:43:46		2012-11-12 00:43:49		Door		PIR			Living
2012-11-12 00:46:12		2012-11-12 00:46:15		Door		PIR			Bedroom
2012-11-12 00:47:21		2012-11-12 00:47:24		Door		PIR			Bedroom
2012-11-12 00:48:38		2012-11-12 00:50:12		Basin		PIR			Bathroom
2012-11-12 00:50:29		2012-11-12 00:50:32		Door		PIR			Living
2012-11-12 00:51:18		2012-11-12 01:52:12		Seat		Pressure	Living
2012-11-12 01:53:19		2012-11-12 01:53:22		Door		PIR			Living
2012-11-12 01:53:27		2012-11-12 01:53:35		Basin		PIR			Bathroom
2012-11-12 01:53:39		2012-11-12 01:54:27		Toilet		Flush		Bathroom
2012-11-12 01:53:53		2012-11-12 01:53:57		Door		PIR			Bedroom
2012-11-12 01:55:09		2012-11-12 09:30:35		Bed			Pressure	Bedroom
2012-11-12 09:31:16		2012-11-12 09:31:19		Door		PIR			Bedroom
2012-11-12 09:37:28		2012-11-12 09:38:45		Toilet		Flush		Bathroom
2012-11-12 09:40:17		2012-11-12 09:40:22		Door		PIR			Living
2012-11-12 09:41:14		2012-11-12 09:41:17		Door		PIR			Living
2012-11-12 09:42:02		2012-11-12 09:42:05		Door		PIR			Kitchen
2012-11-12 09:47:57		2012-11-12 09:48:12		Fridge		Magnetic	Kitchen
2012-11-12 09:48:21		2012-11-12 09:50:02		Microwave	Electric	Kitchen
2012-11-12 09:52:33		2012-11-12 09:52:35		Door		PIR			Kitchen
2012-11-12 09:53:26		2012-11-12 09:53:29		Door		PIR			Bedroom
2012-11-12 09:56:16		2012-11-12 09:56:20		Door		PIR			Bedroom
2012-11-12 09:56:25		2012-11-12 09:56:28		Door		PIR			Living
2012-11-12 09:57:36		2012-11-12 10:14:50		Seat		Pressure	Living
2012-11-12 10:15:44		2012-11-12 10:15:47		Door		PIR			Living
2012-11-12 10:16:55		2012-11-12 10:16:58		Door		PIR			Bedroom
2012-11-12 10:17:01		2012-11-12 10:17:05		Door		PIR			Bedroom
2012-11-12 10:18:19		2012-11-12 10:20:15		Basin		PIR			Bathroom
2012-11-12 10:21:39		2012-11-12 10:29:45		Shower		PIR			Bathroom
2012-11-12 10:32:25		2012-11-12 10:32:38		Door		PIR			Living
2012-11-12 10:33:09		2012-11-12 10:33:10		Door		PIR			Living
2012-11-12 10:33:23		2012-11-12 10:33:25		Door		PIR			Kitchen
2012-11-12 10:33:27		2012-11-12 10:33:42		Door		PIR			Kitchen
2012-11-12 10:33:47		2012-11-12 10:34:10		Basin		PIR			Bathroom
2012-11-12 10:34:11		2012-11-12 10:35:02		Toilet		Flush		Bathroom
2012-11-12 10:35:14		2012-11-12 10:40:01		Basin		PIR			Bathroom
2012-11-12 10:40:29		2012-11-12 10:40:31		Door		PIR			Kitchen
2012-11-12 10:41:08		2012-11-12 10:41:10		Door		PIR			Kitchen
2012-11-12 10:41:20		2012-11-12 10:41:22		Door		PIR			Living
2012-11-12 10:41:42		2012-11-12 10:41:44		Door		PIR			Living
2012-11-12 10:42:05		2012-11-12 10:42:07		Basin		PIR			Bathroom
2012-11-12 10:47:17		2012-11-12 10:47:24		Door		PIR			Living
2012-11-12 11:04:53		2012-11-12 11:04:56		Door		PIR			Living
2012-11-12 11:05:44		2012-11-12 11:05:47		Door		PIR			Kitchen
2012-11-12 11:06:11		2012-11-12 11:06:34		Fridge		Magnetic	Kitchen
2012-11-12 11:09:44		2012-11-12 11:10:42		Microwave	Electric	Kitchen
2012-11-12 11:20:40		2012-11-12 11:20:45		Door		PIR			Kitchen
2012-11-12 11:21:26		2012-11-12 11:21:30		Door		PIR			Living
2012-11-12 11:23:34		2012-11-12 11:23:37		Door		PIR			Living
2012-11-12 11:24:12		2012-11-12 11:24:17		Door		PIR			Bedroom
2012-11-12 11:32:27		2012-11-12 11:32:29		Door		PIR			Bedroom
2012-11-12 11:32:39		2012-11-12 11:32:41		Door		PIR			Kitchen
2012-11-12 11:33:15		2012-11-12 11:33:17		Door		PIR			Kitchen
2012-11-12 11:34:08		2012-11-12 11:34:10		Door		PIR			Bedroom
2012-11-12 11:34:45		2012-11-12 11:34:52		Door		PIR			Bedroom
2012-11-12 11:37:49		2012-11-12 11:37:52		Door		PIR			Kitchen
