@relation 'Hplane NR 0.1'

@attribute value0 numeric
@attribute value1 numeric
@attribute value2 numeric
@attribute value3 numeric
@attribute value4 numeric
@attribute value5 numeric
@attribute value6 numeric
@attribute value7 numeric
@attribute value8 numeric
@attribute value9 numeric
@attribute label {0,1}

@data
0.886056,0.222002,0.883879,0.439466,0.392876,0.994732,0.881501,0.283149,0.247825,0.593564,1
0.553548,0.337487,0.836953,0.473823,0.726279,0.47384,0.114261,0.590144,0.626387,0.723526,1
0.232335,0.038443,0.684043,0.583177,0.833452,0.617526,0.650584,0.273846,0.702795,0.999219,1
0.750489,0.812864,0.300309,0.92422,0.018335,0.566021,0.621842,0.811316,0.381576,0.783211,1
0.007855,0.574032,0.005882,0.77609,0.295645,0.643284,0.877195,0.594491,0.281757,0.014892,1
0.697537,0.321519,0.371695,0.298504,0.061782,0.48544,0.421397,0.463489,0.717385,0.29542,1
0.165386,0.807169,0.762827,0.831552,0.361085,0.119809,0.269907,0.146219,0.920803,0.534658,0
0.297122,0.516052,0.457904,0.143747,0.722823,0.044837,0.138573,0.798393,0.329429,0.602278,0
0.20404,0.957133,0.722497,0.189007,0.479056,0.95306,0.780921,0.559991,0.233168,0.68691,1
0.983674,0.16342,0.810822,0.006311,0.901828,0.065936,0.626655,0.594789,0.450894,0.799533,1
0.062251,0.375488,0.339998,0.787893,0.425615,0.932535,0.515518,0.305764,0.157887,0.729322,1
0.563242,0.56745,0.412126,0.976593,0.944741,0.270048,0.130074,0.891071,0.518055,0.987724,1
0.38957,0.507886,0.126668,0.438313,0.786008,0.268732,0.528528,0.874857,0.809088,0.360322,0
0.257434,0.031438,0.858876,0.597281,0.37002,0.835795,0.675547,0.391968,0.796422,0.220795,1
0.741993,0.129849,0.404859,0.816417,0.01875,0.801217,0.829317,0.734432,0.307443,0.044025,1
0.593656,0.851388,0.147741,0.328068,0.29608,0.396061,0.057346,0.083984,0.068028,0.902659,0
