@relation 'RTG_non drift generators.RandomTreeGenerator -r 0 -i 0'

@attribute nominal1 {value1,value2,value3,value4,value5}
@attribute nominal2 {value1,value2,value3,value4,value5}
@attribute nominal3 {value1,value2,value3,value4,value5}
@attribute nominal4 {value1,value2,value3,value4,value5}
@attribute nominal5 {value1,value2,value3,value4,value5}
@attribute numeric1 numeric
@attribute numeric2 numeric
@attribute numeric3 numeric
@attribute numeric4 numeric
@attribute numeric5 numeric
@attribute class {class1,class2}

@data

value1,value4,value5,value3,value1,0.3090505681997092,0.11700660880722513,0.7815346320453048,0.2527761665759859,0.6130357680446138,class2
value5,value5,value1,value2,value1,0.27495396603548483,0.12889715087377673,0.14660165764651822,0.023238122483889456,0.5467397571984656,class2
value1,value1,value3,value3,value3,0.2859047861515909,0.01492708588111824,0.9766978471088823,0.6882345152979021,0.8676786682939737,class2
value2,value5,value2,value3,value3,0.8388903500470183,0.5266994346048661,0.8993350116114935,0.13393984058689223,0.0830623982249149,class1
value3,value4,value1,value4,value4,0.0642735979440866,0.3591653475606117,0.2742470652533411,0.6668493460342036,0.6895039878550204,class2
value1,value3,value3,value1,value1,0.9715469888517128,0.8657458802140383,0.6125811047098682,0.17898798452881726,0.21757041220968598,class2
value4,value1,value4,value5,value2,0.25175545768906105,0.9481847392423067,0.6899388314967659,0.04815941725809103,0.3952070466478651,class1
value3,value2,value3,value4,value4,0.8537907753080728,0.7860424508145526,0.993471955005814,0.883104405981479,0.17029153024770394,class2
value2,value5,value1,value1,value2,0.2871518999993117,0.6567513412449774,0.32056749555599684,0.09613613565009038,0.471487753120584,class2
value1,value1,value3,value5,value5,0.35310607217911816,0.047265869196129406,0.0716236234178006,0.02910751272163581,0.48367019010510015,class1
value2,value4,value4,value3,value4,0.7191405073016487,0.6390399970937567,0.33750714822349226,0.742525172953017,0.7266285874260149,class2
value1,value4,value1,value2,value2,0.08673785516572752,0.8503115152643057,0.0036769023557003955,0.3078931676344727,0.5316085562487977,class2
value3,value2,value4,value2,value5,0.7702342958730685,0.5464422242140653,0.14860571987167914,0.977378020386754,0.3203682973504627,class2
value3,value1,value5,value5,value4,0.36636074451399603,0.47763691175692136,0.7039697053426346,0.3227677982432213,0.011654838276547785,class1
value5,value5,value3,value4,value5,0.4815869068366545,0.5699036030328748,0.09522750841779049,0.33522372197194517,0.5808949173079956,class1
value3,value1,value4,value5,value3,0.2975682649107815,0.4289044793297375,0.6875516381838638,0.4084964347010259,0.3530524994432197,class2
value2,value3,value1,value2,value5,0.8382056590908437,0.0031184630208533903,0.04110248851731013,0.6480055978928416,0.6133408542440482,class1
value4,value4,value1,value2,value2,0.689017514541342,0.6302892759562045,0.8178375060850521,0.7411183464344743,0.631430080731879,class2
value1,value5,value1,value2,value2,0.4106957632675964,0.9273358391715437,0.22763575513725176,0.6586717264519448,0.5890210945834634,class2
value3,value2,value1,value2,value4,0.6839413314680614,0.3792500319840173,0.5924290426242587,0.9406092652171198,0.5341455346895269,class2
value1,value3,value4,value2,value2,0.19505618118554902,0.32002893226067064,0.2283546218953636,0.4470484284858145,0.4517764791512695,class2
value1,value5,value3,value2,value1,0.08606856789830353,0.8922236965205332,0.534638761596543,0.08564231896368091,0.5313525456947269,class1
value1,value5,value3,value1,value4,0.8744754396443489,0.93056333044031,0.009076380370446113,0.04067378646504061,0.5897725265191291,class2
value2,value1,value2,value5,value4,0.21775045026242468,0.9098217394832929,0.019364114853117287,0.27420937493282704,0.6687934837703366,class2
value4,value4,value3,value5,value1,0.9225234708199946,0.8495291263409073,0.6766407151184648,0.5432993665913347,0.4708485100472426,class1
value5,value2,value2,value5,value2,0.09267023264241692,0.7106264668386636,0.434141935561723,0.8193475095058459,0.6045190667188953,class2
value2,value1,value2,value3,value5,0.7306953261702475,0.5587146691254847,0.9491233558381188,0.02155262454645379,0.7056400167997511,class1
value1,value3,value3,value5,value4,0.03540663722934834,0.19515775498712384,0.5760065883903744,0.9649847470362273,0.33175207550407504,class2
value2,value4,value2,value3,value3,0.7454507301736117,0.2936879907382698,0.24473545670429142,0.43855434402217597,0.19439745753314797,class2
value1,value3,value2,value4,value1,0.37438313211457463,0.0016406267297417454,0.6895084228544839,0.7137473695267416,0.06924654490924442,class2
