@relation 'SEA step 2500 NR 0.1'

@attribute valueX numeric
@attribute valueY numeric
@attribute valueZ numeric
@attribute label {0,1}

@data
5.257571,8.255083,7.979716,1
0.081411,3.225509,8.989069,0
5.589582,1.245256,3.595064,0
3.89167,9.236872,2.692963,1
1.320105,7.740235,8.38718,1
5.819047,2.40045,1.942495,1
1.266553,3.355108,2.495427,0
3.980909,2.713645,5.379197,0
7.748507,2.083952,8.404565,1
2.196524,5.942772,2.401802,1
0.214047,6.442874,6.998677,0
8.091581,8.524282,0.506913,1
0.657484,1.088234,8.932383,1
1.35224,2.687877,8.769148,1
0.811484,9.568731,5.49724,1
0.036531,7.751108,4.908271,0
7.404547,7.347953,6.161952,1
8.174903,6.968492,7.528642,1
7.189134,2.344262,0.937429,1
1.878554,3.617691,6.789203,0
4.686599,4.787291,2.642617,1
1.180964,1.06142,0.017526,0
9.387669,6.893769,5.166728,1
9.478248,0.149186,6.714959,1
4.961887,7.48123,8.246526,1
1.191046,9.023054,9.492071,1
1.914009,7.111154,1.615279,0
8.769613,9.097453,7.289249,1
4.478211,8.517181,0.577603,0
7.944676,8.78692,2.588778,1
6.708849,4.934887,2.05547,1
2.620346,1.359308,7.161892,0
9.535941,9.580035,9.993755,1
9.00348,4.483478,7.921778,0
3.653057,7.637549,3.226692,0
4.907877,6.541398,8.001484,1
2.429144,9.513313,0.970416,1
7.478598,3.798631,1.077044,0
2.359376,1.239562,1.681131,0
9.06381,3.955326,8.704526,1
6.236071,9.690558,3.25324,1
2.811616,2.77457,7.242852,0
4.500153,2.937975,7.836775,0
1.701254,2.922292,6.36939,0
7.02904,9.861862,5.319844,1
3.518424,7.509204,0.052645,1
7.728497,2.567028,8.825587,1
8.539842,1.436237,4.469507,1
6.250838,5.768258,0.815641,1
0.782424,6.988952,2.815961,0
2.095022,0.464619,0.403522,0
2.169847,9.332662,1.093828,1
4.350891,5.127676,1.0451,1
0.968928,3.907791,4.250707,0
7.741422,2.488468,8.678376,1
2.861997,3.514173,0.815997,0
4.935562,5.24112,8.022754,1
1.823473,8.07048,3.823983,1
4.534042,3.197082,5.496925,1
1.43932,1.886937,2.216155,0
1.715177,8.398434,2.028263,1
5.163445,0.476469,4.051456,0
5.515361,7.68331,4.551901,1
7.184781,6.969364,8.619003,1
9.289729,8.286833,4.166626,1
1.82685,3.367653,7.033372,0
4.677812,5.485333,1.042341,1
4.735611,9.421182,9.134582,1
9.518538,4.884851,5.463953,1
8.666142,3.809916,8.383689,1
8.489559,3.715773,1.491099,1
2.438314,8.960904,9.470013,1
7.403154,4.713928,7.802676,1
6.513683,1.875992,6.825901,1
8.177194,9.998407,0.570962,1
8.723704,8.638016,9.679957,1
0.945604,9.673063,7.420231,1
3.838309,3.123863,7.925908,0
5.260301,8.703819,6.369106,1
0.060394,4.598884,1.346173,0
0.530935,6.061902,6.815265,1
1.966894,7.546462,1.576306,0
8.722291,6.575845,9.671249,1
1.783361,3.097754,4.865847,0
6.681493,9.444282,5.44306,1
6.549311,3.682457,9.299688,1
6.508651,2.422733,1.179682,1
8.092491,8.551977,3.077718,1
8.467488,5.05162,4.102813,1
8.615013,5.707121,2.219732,1
9.835567,3.976526,2.137671,0
2.630556,9.052268,8.526968,1
8.087092,9.552039,2.155331,1
0.229903,9.98078,9.790083,1
9.186335,2.773527,4.153602,1
6.679168,4.985873,0.499286,1
0.083179,7.83504,7.844596,0
2.16698,5.985831,4.966985,1
8.770507,3.704203,6.323677,1
4.87277,7.819432,0.282435,1
3.594685,0.000753,3.037501,0
4.365775,8.428941,9.656002,1
8.478893,1.61963,2.168724,1
8.288205,4.061584,7.606059,1
9.260036,1.597782,5.816311,1
7.206247,0.43435,2.791237,1
7.564212,4.543393,0.754264,1
5.444726,7.163904,4.621018,1
3.496705,7.511952,4.014606,1
6.31896,6.163036,9.552635,1
2.46398,0.72721,7.544092,0
5.821558,3.304551,6.215976,1
2.241473,4.191782,2.52716,0
9.377916,2.585037,4.203195,1
5.633395,3.306953,9.779149,1
8.284,9.334746,9.55415,1
5.050341,2.747842,4.5843,0
9.070647,9.648938,6.903423,1
7.52871,4.621175,1.925181,1
2.919198,7.699015,8.34925,1
9.147599,2.120052,2.436321,1
8.821862,1.901617,9.804874,1
7.617624,5.023866,8.425668,1
6.027272,5.40608,0.858877,1
3.366573,2.227798,3.934475,0
8.096637,5.073486,6.059427,1
5.811156,7.907596,3.617098,1
9.47068,2.751386,3.385149,0
6.073057,8.688305,2.390468,1
9.3675,8.142602,2.151578,1
1.661846,7.88154,6.596063,1
3.431822,0.473943,7.479935,0
4.925304,3.585103,2.238868,1
8.894245,1.265765,8.944603,1
3.809775,6.808771,1.110385,1
1.511137,6.897243,2.199186,1
9.199053,9.11888,9.947674,0
2.622378,0.658474,3.445395,1
3.151655,9.41741,8.624759,0
8.138175,2.718584,0.223121,1
7.774335,3.445708,8.802277,1
7.154453,6.405369,9.67379,1
2.521823,8.221459,1.846621,1
5.289676,6.289849,7.119677,0
9.25883,4.065368,5.158894,1
4.551209,7.343695,8.423386,1
1.429444,2.48495,6.256135,1
6.105647,5.58873,4.583191,1
4.214123,2.401857,3.375465,0
9.804371,7.066621,8.181233,1
2.756984,7.816919,4.932307,1
2.486536,1.447897,0.826067,0
0.360278,3.753099,9.163952,0
7.796297,8.977105,5.463721,1
6.932317,6.247423,2.905797,1
9.09584,5.076599,4.914512,0
4.856217,8.074659,1.965752,1
6.262332,4.104745,8.532851,1
8.525362,3.364397,5.17798,1
0.249287,1.420473,0.933977,0
4.240504,1.393323,4.119961,0
5.13257,4.572983,3.734478,1
1.268256,4.603343,4.52888,0
9.402774,1.166443,3.027968,1
7.683004,6.29719,6.383587,1
0.626203,2.783199,3.713174,0
0.44044,8.810256,4.192654,1
3.624024,2.760375,9.056207,0
9.637194,0.738666,9.647093,1
8.347721,2.517314,1.669966,1
5.742294,9.541169,7.344613,1
8.635481,9.69506,4.05753,1
0.122998,2.194133,9.542433,0
1.870451,1.896766,5.175446,0
3.980451,2.136547,9.410851,0
0.575625,2.277007,9.098099,0
0.78297,2.30657,9.968375,0
6.271682,6.535271,2.040956,1
4.560625,9.003131,7.350243,1
5.178206,1.647828,1.123477,0
4.934903,1.533478,0.037333,0
2.348608,7.855426,9.952227,1
0.175934,3.929015,6.966553,0
5.092971,0.258276,1.632396,0
5.660528,0.897987,5.143951,0
0.225074,6.371606,8.616645,0
5.222592,3.15315,6.961129,0
5.728516,8.965925,7.642755,1
3.144503,8.871646,9.465831,1
0.275912,7.827804,6.485221,0
9.430862,9.641046,5.863826,1
0.876645,5.096906,1.076847,0
1.043486,1.917681,6.486401,0
8.051819,3.755359,5.965582,1
6.225426,6.909495,8.681985,1
0.682629,0.729147,5.805941,0
3.118443,3.462571,9.552478,0
8.888678,7.929404,1.085619,1
3.147571,1.036539,3.504354,0
4.996259,1.784693,3.254364,0
1.42609,5.484557,0.773825,0
4.166843,0.777189,8.300546,0
8.327528,6.747545,4.447423,1
3.691343,4.638378,1.772427,0
2.416302,4.664148,6.215681,0
9.946813,2.427196,9.67131,1
2.46386,7.559649,1.453621,1
9.000402,6.262304,7.879443,1
5.933378,1.025061,7.432498,0
2.500296,7.898185,4.877223,1
8.381158,1.211317,6.910943,1
4.306955,4.070028,8.007995,1
7.75635,9.426131,0.060082,1
1.106271,5.623964,2.02428,0
7.94353,9.446675,8.53292,1
4.707049,9.619754,0.516342,1
6.069744,7.075861,2.189917,1
8.965975,1.335228,5.24351,1
6.031555,0.744977,9.630721,0
8.730285,8.405327,5.340385,1
9.49783,4.635862,4.758711,1
4.994737,0.311853,0.269092,0
8.137609,7.59893,2.872525,0
9.918699,7.572177,9.929591,1
8.540927,6.763794,4.884402,1
9.012315,4.899583,6.834803,1
8.007473,0.007274,0.565767,1
5.658785,2.888819,0.503884,1
9.468933,5.81276,4.537136,1
9.072812,2.464856,2.484888,0
0.061497,3.075872,4.200541,0
6.475543,5.564609,6.536261,1
7.524256,4.271006,7.609414,1
5.2723,1.525071,8.892045,0
2.657499,2.477021,0.071418,0
4.359286,5.651199,7.834498,1
8.344926,5.521038,7.450763,1
3.937108,9.658499,3.173634,0
0.437027,4.577002,8.624498,1
8.867591,3.483247,5.227792,1
4.272329,5.193948,7.009891,0
0.754822,6.514973,6.853983,0
7.17265,5.246766,0.249391,1
8.988683,2.592161,3.285832,1
5.871323,2.881714,5.396523,1
6.178377,0.690741,2.033814,0
6.168265,4.91836,8.508216,0
4.041298,3.281513,5.399685,0
3.509532,3.630918,9.841001,0
2.075921,6.103313,5.191441,1
4.889812,7.503134,8.461491,1
4.96376,0.823223,5.831529,0
0.125751,3.983288,9.925647,0
2.114593,1.02337,8.649744,0
9.781763,0.677413,4.83127,1
8.304977,5.881433,8.149075,1
0.779503,5.678438,9.936671,0
3.56687,6.541469,1.906593,1
8.266779,2.045459,6.183471,1
0.612166,5.019212,6.617667,0
5.093885,9.2448,5.178674,1
5.710842,6.989237,0.39254,1
5.697442,9.431079,4.31772,1
3.902513,2.872913,0.735679,0
9.030843,8.364099,8.532892,1
5.755326,6.122777,0.592355,1
7.043591,4.746093,4.015974,1
5.975485,9.780201,3.534316,1
0.17295,5.261306,0.470988,0
3.488919,9.934142,5.736597,1
3.34548,6.566347,6.258743,1
7.001945,7.325334,4.198673,1
4.921531,6.982822,6.727364,1
5.550841,8.019474,5.917459,1
4.129524,9.660494,0.251195,1
8.991995,4.623509,4.65924,1
4.500258,7.648912,0.849056,1
6.237395,4.928217,6.857754,1
1.907552,4.064724,2.003472,0
3.12063,2.051207,1.627236,0
3.012945,5.5904,0.66822,1
9.762767,1.10412,2.473923,1
0.627495,5.788432,4.141923,0
0.429029,9.645838,7.723697,1
3.144796,9.749764,4.94011,1
6.497515,1.640619,9.824722,0
5.229164,6.784192,0.141887,1
3.129256,7.207814,9.90638,1
3.09309,1.85731,3.265743,0
8.230201,5.544049,0.932847,1
7.127522,1.102736,7.621331,0
3.867056,0.337624,9.296151,0
3.456531,1.372408,6.975978,0
6.561278,2.700972,5.361496,1
9.65731,7.529916,0.643401,1
1.707717,2.886424,0.777084,0
1.212067,6.667614,7.996004,0
5.058646,8.198687,7.055128,1
2.367625,7.684536,0.168598,1
4.202605,6.964086,7.933688,1
4.572504,9.328042,6.337982,1
0.218099,5.95256,9.818728,0
3.443677,2.379008,0.440524,0
8.068645,0.263269,9.816015,1
0.35964,3.307296,9.274107,0
6.239895,1.909505,9.737708,1
3.191279,3.585263,7.446153,0
8.573698,3.896645,6.359964,1
3.848699,5.210363,5.923156,1
9.481786,0.824211,7.465284,1
0.113185,6.494028,0.044931,0
2.712933,7.298239,8.867444,0
8.812169,5.172525,4.445549,1
8.706674,9.625725,4.450345,1
5.51488,4.80275,7.713743,0
5.286144,7.281383,6.573821,1
9.697958,1.230019,9.684026,1
0.397944,2.49285,7.966813,1
4.119374,0.202589,1.590099,0
5.695253,2.658293,0.534381,1
4.843744,8.935485,2.08397,1
1.937994,3.287683,4.077862,0
0.750312,8.097347,6.405522,1
7.813547,9.66254,9.965235,0
3.436617,1.027411,8.532579,0
0.484582,0.829487,2.191607,0
8.567708,6.60436,3.969475,1
3.334742,4.690483,3.416446,1
8.94541,8.000745,8.000696,1
4.546228,3.112933,0.407947,0
5.105833,7.429312,0.5687,0
9.344963,1.733911,1.655577,0
2.169468,4.813242,7.77315,0
7.51696,2.879761,8.495139,1
1.238392,7.313486,3.617536,1
7.296886,3.959815,1.513536,1
9.516783,9.859704,5.333849,1
8.758851,9.961982,1.205797,1
3.007246,1.707615,6.139506,0
2.806731,9.717538,3.379333,1
0.228506,9.967141,2.793397,1
7.156101,3.940656,8.448362,1
4.076818,1.409913,5.752158,0
2.264277,7.295328,6.735861,1
7.821646,0.620082,6.655305,1
8.805987,6.304014,9.288937,0
6.963567,7.331901,7.416881,1
5.22385,8.261559,9.825053,1
0.191012,9.341717,2.296683,1
8.773468,7.558579,3.52414,0
3.682263,5.446209,3.404341,1
6.170304,4.173589,8.05331,1
2.170052,6.948001,4.284636,1
6.849311,8.288423,5.5695,1
8.792409,2.48336,0.265839,1
3.75399,4.207413,7.516298,0
8.397434,1.61845,0.856717,1
8.015953,7.323657,6.355486,1
3.458171,1.493264,9.51209,1
9.235355,8.057657,5.953811,1
7.97843,8.760858,7.108272,1
8.638415,4.0502,5.706884,1
1.181652,9.593623,1.115415,1
2.571135,3.498066,6.865608,0
5.695978,3.094121,6.602802,1
8.992679,3.328846,9.542038,1
5.259358,0.316161,5.577145,0
9.839206,0.236832,9.140191,1
8.694756,4.100267,3.615938,1
7.705359,6.598927,1.567469,0
8.393487,8.685882,3.050764,1
7.686781,5.872179,7.358487,1
8.977771,8.039647,5.473655,1
2.968302,9.311125,6.429106,1
4.300898,1.83504,4.788154,0
7.855935,3.426589,8.349227,1
0.897474,0.89531,0.019728,0
8.547137,3.541458,5.903745,1
6.444573,3.970189,4.503188,1
4.491253,1.550074,8.060588,0
8.159203,8.236694,5.609579,1
8.987143,1.414891,8.799168,1
3.926499,8.381185,4.636398,1
2.120984,6.622929,1.420245,1
1.804884,0.523213,1.074297,0
4.372824,0.831709,3.030627,0
6.672988,8.446067,8.634361,0
1.630755,6.117569,4.868692,1
2.14777,9.672453,0.595023,1
3.41495,8.394463,6.398969,1
8.024003,0.99921,7.631947,1
1.947867,8.301079,1.984832,1
6.552549,5.232571,6.277263,1
8.851644,3.156749,9.04676,1
9.231628,8.815025,8.013543,1
9.4912,6.782056,4.534494,1
6.170647,0.607133,2.659738,0
7.649567,1.520127,3.82744,1
0.504434,4.088439,3.987281,0
9.48671,7.046818,4.179047,1
6.703126,7.81484,7.383726,1
1.628994,9.794418,0.698161,1
5.854608,0.010931,6.101709,0
3.07087,0.214366,1.352623,0
7.881649,4.05406,8.559828,1
0.399381,0.732975,4.992511,0
7.281193,2.841357,0.352231,1
8.970988,9.10574,7.02845,1
7.718171,6.466021,8.762791,1
3.80681,3.181981,3.884929,0
6.807041,7.020751,8.370511,1
5.37014,7.469953,8.947444,1
7.277642,0.880639,8.933543,1
8.076478,7.416718,1.499345,1
3.184189,8.908676,8.834893,1
1.832799,7.26608,4.191149,1
9.689657,1.876339,4.579632,1
3.248132,0.912623,7.851168,0
9.358438,2.565643,7.057738,1
2.176021,4.320069,2.331558,1
5.781634,6.413908,1.410193,1
5.598411,3.679964,8.822352,0
2.94057,5.064836,1.159671,0
1.872482,3.244259,4.696499,0
4.381911,4.531259,9.619952,1
8.791387,5.859392,3.442503,1
2.86423,9.360889,0.538481,1
0.425425,3.440538,7.455175,0
9.730213,3.471885,3.300211,1
5.764641,5.209506,7.715958,1
1.22357,3.57724,1.337004,0
4.503245,2.586379,0.96891,0
5.349128,2.315203,9.714692,0
0.422586,0.691832,0.090855,0
7.700735,3.447369,3.492764,1
3.547175,0.090257,7.708804,0
5.493704,0.410306,6.759803,0
3.854171,8.38187,7.63352,1
4.745998,2.101521,2.163147,0
8.143632,3.329337,3.433704,1
1.51892,8.756592,0.286077,1
7.502776,5.960752,9.09077,1
9.098768,5.112866,3.999652,1
8.941521,0.73254,7.220854,1
1.910071,4.619045,5.492513,0
2.091103,1.508509,1.967202,0
8.753639,7.193755,2.278058,1
9.145308,0.846766,7.214999,1
5.095132,6.050985,3.164673,1
5.916114,5.08653,3.486993,1
0.102827,2.023316,4.358835,0
0.108516,3.786483,0.872171,0
9.63742,1.407256,9.106593,1
8.882652,6.444873,0.60332,1
8.330543,6.195676,1.047886,1
8.71281,6.366242,4.796515,1
6.407411,6.524071,4.16264,1
3.893782,4.134646,3.505024,1
6.14578,1.672681,5.049175,0
1.958157,8.889621,7.619594,1
6.540897,4.524071,3.717145,1
1.455665,1.135899,5.259428,0
9.222016,4.20744,8.24625,1
9.330802,8.203219,0.819591,1
0.720102,6.817623,8.946351,0
1.367944,3.503949,1.525678,0
5.551286,3.875722,8.941313,1
8.285708,3.594546,7.936101,1
7.214348,5.210938,9.673295,0
6.594167,4.288044,3.773356,1
6.713935,2.084922,1.696478,1
3.620937,1.37419,3.06951,1
0.275739,7.469232,6.363259,1
4.20626,6.390575,3.252313,1
0.763349,6.008867,2.129553,0
5.981546,9.299636,1.329249,1
6.505051,1.626222,1.390918,0
2.600868,4.919271,3.877001,0
6.347097,3.343413,1.115495,1
0.235986,0.847208,0.523208,1
9.864702,7.90779,8.847576,1
3.922024,9.48573,9.256172,1
0.646547,9.561386,0.5352,1
7.596522,8.370183,7.921874,1
9.770806,0.600629,6.889804,1
9.386181,6.306198,3.377051,1
8.133834,8.859101,2.25876,1
0.078244,4.659337,5.424459,0
9.685511,8.716281,6.581166,1
9.157045,7.016128,6.655488,1
1.897359,4.202431,6.968603,0
7.774085,5.893949,5.810988,1
6.843063,2.151148,4.983461,1
8.435133,7.449205,0.039703,1
4.123232,5.558378,3.386026,1
5.712631,8.130862,7.72525,1
7.068583,3.377209,6.073351,0
0.247566,2.662023,3.795158,0
5.936349,0.574733,5.897245,0
0.00263,7.473469,6.817735,1
5.152365,8.619464,2.167033,1
5.011788,1.798647,5.406098,0
7.988655,2.280635,9.626124,1
9.992647,5.306167,5.727042,1
1.832339,9.786861,1.771414,1
3.228439,9.578732,4.173527,1
4.031832,0.044596,0.478686,0
3.147979,3.672324,9.845769,0
7.891907,6.990066,2.046356,0
9.543775,1.150402,6.673552,1
5.088491,8.412475,5.722998,1
8.025204,0.588385,8.961271,1
5.289327,9.873726,0.829119,1
2.809535,9.18996,8.853726,1
6.688494,5.199897,1.595055,1
5.483548,5.842068,2.563344,1
1.831201,0.003213,4.274912,0
7.344659,2.445963,8.132192,1
2.183371,4.756865,7.753938,0
6.839804,1.764803,5.46303,1
1.92878,5.996961,8.784587,0
0.150032,7.039478,9.258483,0
7.194117,4.740393,3.642938,1
2.120932,6.415252,9.713284,1
4.470021,2.947009,9.28505,0
9.449425,2.266972,8.958949,1
1.087218,4.225,8.66156,0
8.661702,0.463863,1.94542,0
6.453575,4.608087,5.356961,1
5.30511,0.374988,1.89596,0
2.940666,8.473338,0.249533,1
2.604425,0.441156,1.149358,0
2.881273,4.471334,8.018438,0
6.263275,6.621563,5.104221,1
5.619823,8.402852,1.154775,1
8.426396,5.949137,6.413733,1
6.393888,3.332637,9.572655,1
4.287842,3.080929,7.173224,1
2.419159,6.929328,3.201425,1
3.328038,7.779824,6.71764,1
7.51653,7.072616,7.536383,1
3.728769,5.294581,3.047893,1
0.268018,2.523455,5.892281,0
5.787762,0.670609,6.827149,0
9.511,0.014672,1.648407,1
5.551015,4.637309,3.270441,1
3.986513,6.201839,0.033489,1
2.897444,8.783513,2.922394,1
7.698039,9.654101,6.537777,1
1.307625,7.767041,1.207582,1
6.08035,8.792708,3.333756,1
0.139667,4.903286,6.346819,0
1.30299,9.42936,3.238883,1
6.004278,0.397932,2.621018,0
2.897557,4.677022,1.32668,0
2.429845,1.681788,2.66295,0
4.788764,0.081141,1.492573,0
3.236859,0.030287,8.985773,0
5.628545,5.804375,5.252381,1
5.926408,6.039044,8.214099,1
9.93559,6.075579,2.279065,1
5.599664,1.872449,3.144335,0
6.910733,8.777352,5.914719,1
1.828538,3.787368,9.957977,1
5.35351,8.611959,6.977766,1
5.837433,3.697525,9.45992,0
8.117304,0.301664,0.275303,1
2.624303,6.63783,1.993914,1
7.474029,8.400444,5.294554,1
1.516578,8.565479,8.935457,1
1.748419,3.785114,8.124807,0
7.184412,4.640728,7.182807,1
1.729781,0.000128,1.290544,0
9.788888,0.309413,7.246528,1
4.71241,4.95878,3.229741,1
7.974304,0.452887,5.995549,1
8.792342,7.755172,9.909987,1
8.650506,0.696826,4.169672,1
3.893678,4.439735,8.751966,1
1.68428,9.21648,0.728586,1
1.998738,4.342723,2.095078,0
0.779277,7.266972,5.692109,1
3.324484,7.295561,3.165626,1
6.716956,6.425761,8.319747,1
2.476352,0.842299,3.581733,0
5.807392,6.072514,0.805244,1
1.83756,7.555338,3.141198,1
5.781764,8.025346,3.680131,1
0.230306,1.648886,7.273706,0
3.141594,1.827208,2.48569,0
7.311705,0.58732,6.446584,1
7.079271,4.660916,8.033199,0
1.893779,5.738196,2.197048,0
3.633979,0.558763,3.706452,0
8.309995,9.003516,4.515921,1
8.336823,0.089387,3.239542,0
6.108697,8.133734,4.164414,1
6.697596,9.542007,7.084045,1
2.913282,0.234647,0.853238,0
2.514943,9.298146,9.603063,1
7.737729,0.729861,5.796304,1
9.153685,1.930881,5.61087,1
5.125898,4.024831,5.839206,1
0.875062,1.980479,4.102821,0
2.645737,5.521771,9.718251,1
1.941798,4.97073,2.263937,0
7.653273,4.03439,2.968282,1
1.463673,0.395315,9.664095,0
9.680356,1.198807,1.103267,1
0.925296,2.209064,7.559092,0
1.196129,5.845926,8.434851,0
0.884549,3.379139,8.59937,0
6.45741,6.772591,6.85292,1
1.900581,9.358909,5.234843,1
6.921053,0.087133,7.129009,0
2.06659,0.174902,4.787717,0
5.423426,6.678483,0.320692,1
2.44059,5.094077,5.481788,0
6.007082,5.453708,6.144402,1
4.829188,6.711702,2.308858,1
0.653346,4.055653,1.267625,0
4.395456,4.45825,7.444752,1
5.736073,2.470091,6.286852,1
0.400955,1.602069,1.128592,0
3.678164,8.993551,4.917587,1
9.912279,3.05216,1.560369,1
6.75527,6.685921,7.548171,1
8.884007,1.851568,5.389001,1
3.402382,7.461594,2.871624,1
6.760036,9.651815,6.823472,1
6.966974,4.021502,5.499879,1
6.782249,2.283347,9.755169,1
7.78601,8.760271,6.038103,1
3.661009,8.238221,8.008555,1
7.870809,7.692433,1.753412,1
9.314798,4.431033,5.33349,1
9.899157,6.403277,7.538322,1
3.550383,7.511098,3.310714,1
1.841888,9.461744,3.536662,1
6.511117,9.969679,5.929213,1
1.354934,8.393782,6.539037,1
2.000479,0.520887,8.466968,0
9.865511,8.480086,9.567628,1
0.586246,8.921369,0.844016,1
6.234904,2.13539,2.340211,1
6.565546,2.354839,9.462905,1
1.266232,5.558066,0.784205,0
2.459264,4.616191,9.385788,0
6.78746,4.602777,9.678836,1
4.910881,7.093566,9.524689,1
9.129229,1.250762,3.799902,1
1.417093,0.57742,3.498386,0
3.958325,2.401326,8.999966,0
9.215758,0.808993,9.963642,1
0.785287,8.941969,5.680625,0
1.573954,0.749358,6.791492,1
2.15312,4.602954,9.096347,0
4.282208,1.788367,7.267191,0
5.082467,3.960899,8.995297,1
6.381196,0.940854,1.43753,0
7.442146,3.234645,5.834468,1
2.491699,1.673727,4.396263,0
9.463255,6.458159,2.71649,1
9.496062,0.917811,8.71589,1
1.149799,9.196025,1.866026,1
7.308782,4.100808,2.077148,0
5.255201,2.041851,9.227583,0
2.737488,1.425565,3.844262,0
5.543976,9.167629,3.803521,0
1.157884,6.912259,3.490107,0
2.945085,0.75277,0.404834,0
7.465075,2.87596,7.916308,1
5.423474,4.335861,9.805399,1
6.277196,1.273159,6.553054,0
0.407008,1.725493,9.086112,0
3.484051,1.275261,0.392823,0
7.510433,0.147354,6.290611,0
4.565069,4.188452,5.670743,1
3.559597,7.488533,5.18417,1
7.177342,7.436829,0.866428,1
0.17795,6.656324,3.419709,0
9.766698,2.574049,8.989193,1
3.553314,2.193657,5.315434,0
9.547557,1.272789,0.116688,1
9.993209,4.155968,9.009978,1
7.735013,5.857245,9.595767,1
6.863095,1.94986,1.891403,1
9.433683,7.218519,0.250297,1
0.431377,2.305714,9.025987,0
6.232348,9.459895,7.625015,1
7.038717,2.848549,4.220499,1
9.47864,0.195048,5.91551,1
2.737109,4.80164,7.037044,0
8.708653,0.596458,4.168231,1
4.74262,3.583512,6.543594,1
4.099422,9.667811,3.021976,1
7.653005,9.288402,6.200117,1
5.353147,2.839613,8.10791,1
3.011023,0.546018,1.014957,0
7.458009,2.706351,6.610136,1
9.61014,2.897865,4.904288,1
7.912957,4.648659,0.577399,0
8.057148,3.748311,8.106234,1
6.851633,2.822458,8.845162,1
